Timestamp,MagX,MagY,MagZ,AreaCode,LocationCode
1717672487027,18.075,-30.562502,-20.5125,A,A1
1717672488017,17.90625,-31.650002,-21.375,A,A1
1717672489023,18.018751,-32.081253,-21.525002,A,A1
1717672490012,17.925001,-32.4375,-21.46875,A,A1
1717672491021,17.85,-32.68125,-21.4125,A,A1
1717672492019,17.79375,-32.850002,-21.300001,A,A1
1717672493027,17.737501,-33.075,-21.13125,A,A1
1717672494024,17.75625,-33.300003,-20.8875,A,A1
1717672495029,17.737501,-33.84375,-20.71875,A,A1
1717672496027,17.79375,-34.125,-20.325,A,A1
1717672497039,17.75625,-34.350002,-19.931252,A,A1
1717672498022,17.79375,-34.55625,-19.575,A,A1
1717672499027,17.90625,-34.725002,-19.181252,A,A1
1717672500027,18.0375,-34.893753,-18.862501,A,A1
1717672501030,18.16875,-34.95,-18.675001,A,A1
1717672502034,18.243752,-34.95,-18.6,A,A1
1717672503027,18.243752,-34.987503,-18.487501,A,A1
1717672504023,18.206251,-35.0625,-18.337502,A,A1
1717672505033,18.225,-35.15625,-18.206251,A,A1
1717672506028,18.243752,-35.193752,-18.018751,A,A1
1717672507029,18.225,-35.287502,-17.85,A,A1
1717672508010,18.28125,-35.381252,-17.53125,A,A1
1717672509031,18.431252,-35.49375,-17.04375,A,A1
1717672510016,18.581251,-35.662502,-16.5375,A,A1
1717672511028,18.7875,-35.79375,-16.0125,A,A1
1717672512015,18.993752,-35.925003,-15.525001,A,A1
1717672513026,19.2,-36.09375,-14.981251,A,A1
1717672514012,19.368752,-36.225002,-14.531251,A,A1
1717672515035,19.518751,-36.3375,-14.175,A,A1
1717672516011,19.556252,-36.375,-14.00625,A,A1
1717672517031,19.893751,-36.3375,-13.781251,A,A1
1717672518018,20.19375,-36.112503,-13.9125,A,A1
1717672519028,20.41875,-35.86875,-14.137501,A,A1
1717672520014,20.71875,-35.60625,-14.250001,A,A1
1717672521030,20.962502,-35.362503,-14.418751,A,A1
1717672522013,21.206251,-35.15625,-14.587501,A,A1
1717672523039,21.487501,-34.93125,-14.681251,A,A1
1717672524008,21.825,-34.725002,-14.75625,A,A1
1717672525031,21.75,-34.59375,-15.01875,A,A1
1717672526012,21.69375,-34.59375,-15.01875,A,A1
1717672527037,21.73125,-34.631252,-14.925,A,A1
1717672528012,21.581251,-34.537502,-15.225,A,A1
1717672529030,20.325,-34.256252,-16.743752,A,A1
1717672530007,17.1375,-33.768753,-18.862501,A,A1
1717672531020,13.875001,-33.24375,-20.831251,A,A1
1717672532014,10.33125,-32.8875,-22.425001,A,A1
1717672533026,6.20625,-32.60625,-23.775002,A,A1
1717672534012,1.81875,-32.362503,-24.91875,A,A1
1717672535027,-3.1125002,-32.5125,-25.143751,A,A1
1717672536010,-8.00625,-33.487503,-23.4375,A,A1
1717672537033,-11.137501,-34.95,-19.518751,A,A1
1717672538010,-11.325001,-36.7125,-14.700001,A,A1
1717672539026,-10.5375,-38.456253,-10.1625,A,A1
1717672540017,-9.1125,-39.862503,-5.68125,A,A1
1717672541025,-6.80625,-41.11875,-1.5375,A,A1
1717672542012,-4.275,-42.375,2.5500002,A,A1
1717672543028,-1.125,-43.162502,5.6625004,A,A1
1717672544012,2.04375,-43.21875,7.18125,A,A1
1717672546885,4.6125,-42.881252,7.9500003,A,A1
1717672549323,6.05625,-42.54375,8.118751,A,A1
1717672550374,6.5625005,-42.300003,8.493751,A,A1
1717672551372,6.7125,-42.225002,8.887501,A,A1
1717672552390,6.5625005,-42.28125,9.075001,A,A1
1717672554689,6.5437503,-42.24375,9.0375,A,A1
1717672555673,6.5062504,-42.2625,8.94375,A,A1
1717672556674,6.5625005,-42.206253,9.0375,A,A1
1717672558323,6.7125,-42.206253,8.71875,A,A1
1717672559303,7.1625004,-42.075,8.625,A,A1
1717672560324,8.043751,-41.737503,7.93125,A,A1
1717672561308,9.375,-41.25,6.1312504,A,A1
1717672562322,11.137501,-40.5,3.9562502,A,A1
1717672563308,12.712501,-39.84375,1.85625,A,A1
1717672564316,14.231251,-39.206253,-0.15,A,A1
1717672565305,15.750001,-38.643753,-2.34375,A,A1
1717672566324,17.1,-38.081253,-4.4437504,A,A1
1717672567828,18.28125,-37.575,-6.4500003,A,A1
1717672568572,19.125,-37.2,-7.9125004,A,A1
1717672570035,19.48125,-36.99375,-8.606251,A,A1
1717672570785,19.59375,-37.03125,-8.71875,A,A1
1717672573332,19.7625,-36.99375,-8.681251,A,A1
1717672574312,19.9125,-36.975002,-8.962501,A,A1
1717672575331,20.38125,-36.73125,-9.20625,A,A1
1717672576307,20.6625,-36.600002,-9.6,A,A1
1717672577324,20.85,-36.46875,-10.05,A,A1
1717672578314,20.962502,-36.35625,-10.6125,A,A1
1717672579321,21.0,-36.2625,-11.137501,A,A1
1717672580314,20.925001,-36.09375,-11.700001,A,A1
1717672581333,20.831251,-36.018753,-12.450001,A,A1
1717672582310,20.8125,-35.925003,-12.750001,A,A1
1717672583332,20.475,-36.037502,-13.14375,A,A1
1717672584310,20.34375,-36.018753,-13.387501,A,A1
1717672585328,20.34375,-35.943752,-13.556251,A,A1
1717672586726,20.400002,-35.86875,-13.781251,A,A1
1717672587990,20.493752,-35.831253,-14.025001,A,A1
1717672589924,20.625,-35.79375,-14.062501,A,A1
1717672590902,20.75625,-35.7,-14.00625,A,A1
1717672591922,20.85,-35.625,-14.043751,A,A1
1717672592903,20.868752,-35.568752,-13.9125,A,A1
1717672593923,20.94375,-35.53125,-13.875001,A,A1
1717672594971,20.98125,-35.550003,-13.762501,A,A1
1717672595968,20.94375,-35.7,-13.481251,A,A1
1717672596990,20.962502,-35.8125,-13.125001,A,A1
1717672598006,20.962502,-35.850002,-12.900001,A,A1
1717672599427,21.0375,-35.90625,-12.187501,A,A1
1717672600515,21.13125,-35.8875,-11.700001,A,A1
1717672601506,21.13125,-35.925003,-11.64375,A,A1
1717672602530,21.112501,-35.9625,-11.587501,A,A1
1717672603504,21.056252,-35.9625,-11.64375,A,A1
1717672604528,21.150002,-35.79375,-11.64375,A,A1
1717672605511,21.243752,-35.662502,-11.3625,A,A1
1717672606519,21.28125,-35.643753,-11.231251,A,A1
1717672607514,21.431252,-35.49375,-11.775001,A,A1
1717672608529,21.5625,-35.381252,-12.1125,A,A1
1717672609510,21.900002,-35.11875,-11.981251,A,A1
1717672610523,22.125,-34.987503,-11.925,A,A1
1717672611507,22.3125,-34.7625,-12.31875,A,A1
1717672612529,22.29375,-34.55625,-12.900001,A,A1
1717672613515,22.2,-34.40625,-13.781251,A,A1
1717672614527,22.087502,-34.21875,-14.531251,A,A1
1717672615510,21.73125,-34.2,-15.056251,A,A1
1717672616524,21.45,-34.21875,-15.69375,A,A1
1717672618836,21.0375,-34.256252,-16.556252,A,A1
1717672619810,20.681252,-34.256252,-17.23125,A,A1
1717672620833,20.400002,-34.40625,-17.19375,A,A1
1717672621815,20.23125,-34.575,-17.04375,A,A1
1717672623429,20.15625,-34.74375,-16.931252,A,A1
1717672624403,20.118752,-34.7625,-16.987501,A,A1
1717672625423,18.35625,-34.8375,-18.28125,A,A1
1717672626401,14.2875,-35.0625,-19.3125,A,A1
1717672627406,9.50625,-35.550003,-19.518751,A,A1
1717672628408,5.2875004,-35.79375,-19.556252,A,A1
1717672629413,1.25625,-36.09375,-19.837502,A,A1
1717672630406,-2.8500001,-36.43125,-20.306252,A,A1
1717672631414,-6.9187503,-36.73125,-20.7,A,A1
1717672632404,-11.38125,-37.237503,-20.550001,A,A1
